PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) ,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,
T2M_MAX             MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,
T2M_MIN             MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,
District,Year,Month,Pre_sum,QV2M,T2M,T2M_MAX,T2M_MIN
Hailakandi,ANN,ANN,1938.82,14.71,25.07,39.88,7.95
Hailakandi,2007,January,6.5,6.69,16.83,30.79,7.58
Hailakandi,2007,February,66.43,8.5,19.51,30.78,9.78
Hailakandi,2007,March,17.36,8.14,23.72,37.56,10.87
Hailakandi,2007,April,333.24,15.41,26.88,38,18.34
Hailakandi,2007,May,371.95,18.06,27.93,38.94,20.17
Hailakandi,2007,June,503.22,20.18,28.23,37.75,23.4
Hailakandi,2007,July,517.97,20.51,28.08,37.35,22.85
Hailakandi,2007,August,262.06,20.77,28.74,39.71,23.81
Hailakandi,2007,September,299.84,19.47,27.34,37.14,20.7
Hailakandi,2007,October,177.37,16.94,25.44,35.25,16.35
Hailakandi,2007,November,67.28,13.57,22.33,30.46,14.22
Hailakandi,2007,December,0.48,9.26,17.28,26.48,8.91
Hailakandi,ANN,ANN,2623.7,14.82,24.38,39.71,7.58
Hailakandi,2008,January,28.11,8.83,16.7,25.69,8.65
Hailakandi,2008,February,11.99,7.96,18.02,32.08,6.78
Hailakandi,2008,March,93.5,11.36,24.66,35.32,13.53
Hailakandi,2008,April,77.53,13.17,27.92,40.04,17.36
Hailakandi,2008,May,205.29,16.73,29.44,39.23,22.23
Hailakandi,2008,June,314.63,19.56,28.38,37.09,23.22
Hailakandi,2008,July,330.72,20.39,28.16,36.71,23.26
Hailakandi,2008,August,450.51,20.36,27.91,39.28,23.47
Hailakandi,2008,September,133.36,19.71,27.53,35.26,23
Hailakandi,2008,October,161.22,16.95,25.95,35.39,18.62
Hailakandi,2008,November,0.81,12.27,21.44,30.89,13.64
Hailakandi,2008,December,0.64,10.73,19.1,29.35,10.79
Hailakandi,ANN,ANN,1808.31,14.86,24.62,40.04,6.78
Hailakandi,2009,January,0,8.64,18.13,28.55,8.75
Hailakandi,2009,February,14.72,7.91,21.01,33.76,10.45
Hailakandi,2009,March,59.95,9.01,25.12,36.95,11.82
Hailakandi,2009,April,201.81,14.03,28.34,38.76,19.53
Hailakandi,2009,May,339.39,18.09,28.75,42.26,22.38
Hailakandi,2009,June,319.69,19.88,28.79,37.28,23.07
Hailakandi,2009,July,404.83,20.85,29.09,38.72,24.08
Hailakandi,2009,August,400.82,20.58,28.52,36.6,23.68
Hailakandi,2009,September,175.18,19.81,28.17,37.89,23.26
Hailakandi,2009,October,167.37,17.15,25.94,37.65,17.67
Hailakandi,2009,November,16.18,12.99,21.97,31.64,13.7
Hailakandi,2009,December,35.98,9.5,17.44,26.41,8.29
Hailakandi,ANN,ANN,2135.92,14.91,25.12,42.26,8.29
Hailakandi,2010,January,2.06,7.82,17.24,27.81,8.06
Hailakandi,2010,February,3.9,7.69,20.01,31.46,8.26
Hailakandi,2010,March,134.49,10.7,26.08,38.43,14.16
Hailakandi,2010,April,378.27,16.84,27.41,38.73,18.64
Hailakandi,2010,May,468.94,19.28,27.58,34.77,21.9
Hailakandi,2010,June,569.55,20.51,28.11,35.59,21.99
Hailakandi,2010,July,343.5,20.61,28.5,37.63,23.93
Hailakandi,2010,August,306.67,20.47,28.18,37.68,24.24
Hailakandi,2010,September,356.56,19.71,27.34,35.28,22.29
Hailakandi,2010,October,240.64,17.99,26.09,35.81,19.16
Hailakandi,2010,November,14.21,14.01,22.76,32.16,15.31
Hailakandi,2010,December,48.32,10.22,17.95,30,8.29
Hailakandi,ANN,ANN,2867.11,15.53,24.79,38.73,8.06
Hailakandi,2011,January,6.86,8.41,15.7,25.86,6.77
Hailakandi,2011,February,3.47,8.75,19.89,31.64,10.55
Hailakandi,2011,March,82.2,10.62,24.41,35.23,11.28
Hailakandi,2011,April,70.22,13.26,27.47,37.81,17.59
Hailakandi,2011,May,364.89,18.23,28.41,37.42,22.12
Hailakandi,2011,June,371.92,20.16,28.49,36.2,23.21
Hailakandi,2011,July,366.77,20.22,28.36,37.92,23.3
Hailakandi,2011,August,466.48,20.2,27.96,39.84,22.76
Hailakandi,2011,September,226.52,19.78,27.99,38.59,22.75
Hailakandi,2011,October,33.6,17.04,26.42,36.75,17.84
Hailakandi,2011,November,1.34,12.16,21.12,30.33,14.33
Hailakandi,2011,December,0.04,9.37,18.27,28.59,8.39
Hailakandi,ANN,ANN,1994.31,14.88,24.56,39.84,6.77
Hailakandi,2012,January,9.09,7.71,16.94,27.82,7.32
Hailakandi,2012,February,4.98,6.51,20.06,33.72,7.63
Hailakandi,2012,March,39.41,9.37,24.99,37.98,13.86
Hailakandi,2012,April,388,15.48,26.76,38.23,18.31
Hailakandi,2012,May,240.39,18.48,28.58,37.39,20.25
Hailakandi,2012,June,563.25,20.73,28.42,36.42,23.62
Hailakandi,2012,July,342.05,20.75,28.35,36.11,23.89
Hailakandi,2012,August,397.29,20.86,28,36.56,23.13
Hailakandi,2012,September,204.52,20.64,27.71,36.01,24.13
Hailakandi,2012,October,132.03,17.84,25.89,33.53,18.43
Hailakandi,2012,November,40.35,13.25,21.64,31.28,12.22
Hailakandi,2012,December,31.33,9.75,17.58,27.66,8.63
Hailakandi,ANN,ANN,2392.69,15.13,24.58,38.23,7.32
Hailakandi,2013,January,0,7.73,16.23,27.91,4.98
Hailakandi,2013,February,6.54,8.06,21.35,34.24,10.52
Hailakandi,2013,March,29.14,10.16,25.87,36.59,13.32
Hailakandi,2013,April,139.25,13.85,28.46,39.55,19.48
Hailakandi,2013,May,674.79,19.18,27.07,36.66,20.85
Hailakandi,2013,June,301.13,21.27,28.67,38.16,23.57
Hailakandi,2013,July,373.36,20.92,28.64,37.48,23.82
Hailakandi,2013,August,398.18,20.45,27.79,34.45,23.3
Hailakandi,2013,September,272.93,20.46,27.58,35.55,23.22
Hailakandi,2013,October,218.96,17.54,25.89,35.97,18.12
Hailakandi,2013,November,0,13.34,22.5,31.52,14.97
Hailakandi,2013,December,2.2,10.59,18.65,28.87,8.48
Hailakandi,ANN,ANN,2416.48,15.33,24.9,39.55,4.98
Hailakandi,2014,January,0.07,9.16,18.07,28.9,9.48
Hailakandi,2014,February,20.58,8.33,19.86,30.73,9.45
Hailakandi,2014,March,46.55,9.51,25.01,38.35,12.37
Hailakandi,2014,April,85.69,12.96,29.87,41.01,20.19
Hailakandi,2014,May,369.57,18.51,28.75,40.59,22.44
Hailakandi,2014,June,524.69,21.26,29.01,35.9,24.48
Hailakandi,2014,July,236.89,20.98,29.01,37.7,24.28
Hailakandi,2014,August,454.88,20.62,28.14,37.51,23.64
Hailakandi,2014,September,435.6,19.64,27.65,36.67,21.21
Hailakandi,2014,October,65.12,17.15,26,35.72,17.05
Hailakandi,2014,November,0,13.6,22.13,31.44,13.29
Hailakandi,2014,December,2.59,10.4,18.8,30.45,9.87
Hailakandi,ANN,ANN,2242.23,15.21,25.21,41.01,9.45
Hailakandi,2015,January,13.38,9.44,18.69,29.15,9.96
Hailakandi,2015,February,30.18,8.5,20.98,32.76,8.85
Hailakandi,2015,March,35.91,9.53,25.2,37.16,13.53
Hailakandi,2015,April,412.62,16.2,26.21,34.09,20.01
Hailakandi,2015,May,468.67,19.36,27.89,35.9,21.79
Hailakandi,2015,June,476.22,20.91,28.25,35.44,23.37
Hailakandi,2015,July,607.92,20.77,28.03,37.37,23.89
Hailakandi,2015,August,510.85,20.75,28.09,34.78,23.89
Hailakandi,2015,September,309.62,20.27,27.95,37.82,21.99
Hailakandi,2015,October,104.08,17.49,25.95,35.06,19.12
Hailakandi,2015,November,9.72,13.44,22.38,30.56,15.62
Hailakandi,2015,December,5.62,10.09,18.18,27.27,8.3
Hailakandi,ANN,ANN,2984.79,15.6,24.83,37.82,8.3
Hailakandi,2016,January,10.62,8.25,17.19,26.49,7.27
Hailakandi,2016,February,65.2,10.63,22.03,33.21,11.9
Hailakandi,2016,March,111.29,12.09,26.18,36.97,16.37
Hailakandi,2016,April,540.87,18.3,27.16,34.69,19.11
Hailakandi,2016,May,693.6,19.32,27.71,34.95,21.64
Hailakandi,2016,June,413.43,20.82,28.24,36.9,23.74
Hailakandi,2016,July,546.91,20.87,28.23,36.17,23.74
Hailakandi,2016,August,379.13,21.2,28.79,38.2,22.79
Hailakandi,2016,September,429.79,20.58,27.97,36.06,23.69
Hailakandi,2016,October,182.57,18.57,27.12,35.81,19.8
Hailakandi,2016,November,107.41,14.1,22.82,33.06,14.9
Hailakandi,2016,December,4.71,11.52,19.97,30.11,12.32
Hailakandi,ANN,ANN,3485.53,16.36,25.29,38.2,7.27
Hailakandi,2017,January,0.51,9.22,18.21,29.41,8.51
Hailakandi,2017,February,59.65,9.46,21.06,32.94,11.11
Hailakandi,2017,March,297.56,12.03,23.29,33.23,11.82
Hailakandi,2017,April,693.55,17.62,25.99,33.89,19.29
Hailakandi,2017,May,467.8,19.81,28.32,37.19,21.93
Hailakandi,2017,June,934.17,20.98,28.11,36.51,23.28
Hailakandi,2017,July,536.24,21.07,28.43,38.14,23.92
Hailakandi,2017,August,766.51,21.1,28.43,35.93,24.01
Hailakandi,2017,September,511.82,20.67,28.2,36.34,23.65
Hailakandi,2017,October,401.65,18.31,26.59,36.03,16.75
Hailakandi,2017,November,9.01,13.76,22.58,31.85,13.08
Hailakandi,2017,December,127.94,11.54,19.73,30.21,12.49
Hailakandi,ANN,ANN,4806.41,16.33,24.93,38.14,8.51
Hailakandi,2018,January,15.53,9.14,15.97,26.02,6.13
Hailakandi,2018,February,42.66,10.93,20.05,30.32,9.83
Hailakandi,2018,March,86.01,12.36,24.39,34.39,14.93
Hailakandi,2018,April,306.66,15.71,26.47,35.84,17.97
Hailakandi,2018,May,579.15,18.85,27.31,37.39,21.19
Hailakandi,2018,June,714.73,20.99,28.27,35.17,22.82
Hailakandi,2018,July,375.5,21.29,29.17,40.78,24.36
Hailakandi,2018,August,409.07,21.16,29.06,38.02,23.6
Hailakandi,2018,September,311.62,20.19,28.16,37.5,23.77
Hailakandi,2018,October,112.37,16.03,25.06,34.09,17.58
Hailakandi,2018,November,16.23,12.6,21.28,32.07,13.59
Hailakandi,2018,December,32.65,9.93,17.93,28.93,7.4
Hailakandi,ANN,ANN,3002.18,15.79,24.44,40.78,6.13
Hailakandi,2019,January,0.02,8.13,17.51,29.65,8.05
Hailakandi,2019,February,51.07,8.78,20.24,30.76,9.8
Hailakandi,2019,March,64.02,10.45,23.85,35.9,9.3
Hailakandi,2019,April,223.61,15.3,27.32,37.59,19.03
Hailakandi,2019,May,519.19,19.09,28.49,35.8,21.95
Hailakandi,2019,June,632.7,21.09,28.86,37.57,23.75
Hailakandi,2019,July,899.4,21.13,28.49,37.32,23.73
Hailakandi,2019,August,344.06,21.34,29.52,38.28,24.26
Hailakandi,2019,September,383.31,20.21,28.2,35.76,22.46
Hailakandi,2019,October,396.59,17.81,26.22,36.44,20.25
Hailakandi,2019,November,31.59,14,22.62,32.87,13.49
Hailakandi,2019,December,4.69,9.88,17.56,27.98,8.51
Hailakandi,ANN,ANN,3550.25,15.63,24.92,38.28,8.05
Hailakandi,2020,January,38.84,9.24,16.47,26.31,8.06
Hailakandi,2020,February,5.6,9.04,18.61,31.12,8.38
Hailakandi,2020,March,20.46,10.47,23.96,37.05,13.56
Hailakandi,2020,April,272.85,13.8,27.08,38.45,18.02
Hailakandi,2020,May,481.61,18.26,28,36.2,21.17
Hailakandi,2020,June,629.28,20.62,27.94,37.25,23.19
Hailakandi,2020,July,584.37,21.03,28.19,34.83,24.4
Hailakandi,2020,August,318.77,21.03,28.73,38.79,24.04
Hailakandi,2020,September,522.56,20.65,28.33,39.49,23.91
Hailakandi,2020,October,394,19.58,27.65,36.51,22.12
Hailakandi,2020,November,17.53,13.86,23.03,32.45,13.27
Hailakandi,2020,December,0,10.08,17.61,27.92,9.1
Hailakandi,ANN,ANN,3285.87,15.66,24.64,39.49,8.06
Hailakandi,2021,January,6.28,9.23,16.9,26.36,9.07
Hailakandi,2021,February,0.22,8.65,19.81,31.99,6.85
Hailakandi,2021,March,109.06,10.96,25.38,37.04,15.5
Hailakandi,2021,April,111.17,13.64,27.65,38.84,18.68
Hailakandi,2021,May,370.43,18.18,28.07,38.32,20.34
Hailakandi,2021,June,441.24,20.21,27.86,38.24,22.48
Hailakandi,2021,July,437.79,20.79,28.66,39.54,23.48
Hailakandi,2021,August,576.02,20.63,28.14,38.52,23.62
Hailakandi,2021,September,261.65,20.29,28.64,38.4,23.48
Hailakandi,2021,October,176.03,18.12,26.83,38.63,19.06
Hailakandi,2021,November,10.62,12.37,21.23,29.89,11.53
Hailakandi,2021,December,49.73,10.84,18.88,29.55,10.13
Hailakandi,ANN,ANN,2550.24,15.37,24.86,39.54,6.85
Hailakandi,2022,January,28.21,9.05,16.84,26.59,7.17
Hailakandi,2022,February,44.01,8.17,17.5,29.84,7.78
Hailakandi,2022,March,86.92,10.45,25.17,37.33,12.66
Hailakandi,2022,April,268.41,16.53,27.8,39.09,21.06
Hailakandi,2022,May,638.65,18.69,27.87,36.78,21.7
Hailakandi,2022,June,816.48,19.92,27.27,33.73,23.13
Hailakandi,2022,July,407.31,20.64,29.02,41.43,23.13
Hailakandi,2022,August,297.49,20.55,29.22,38.49,23.44
Hailakandi,2022,September,425.93,20.17,28.22,37.82,22.91
Hailakandi,2022,October,270.55,17.61,26.28,36.1,17.24
Hailakandi,2022,November,0.64,13.06,22.45,31.76,12.08
Hailakandi,2022,December,8.53,10.43,18.59,29.35,9.47
Hailakandi,ANN,ANN,3293.13,15.48,24.73,41.43,7.17
Hailakandi,2023,January,0,8.39,16.91,29,8.02
Hailakandi,2023,February,4.2,8.51,20.6,32.36,10.19
Hailakandi,2023,March,134.99,10.83,24.5,36.13,14.05
Hailakandi,2023,April,186.09,14.36,27.12,38.46,17.75
Hailakandi,2023,May,221.63,16.61,28.54,39.51,20.74
Hailakandi,2023,June,728.27,20.44,28.95,38.81,24.11
Hailakandi,2023,July,475.66,21.16,29.59,40.02,24.36
Hailakandi,2023,August,514.97,20.95,28.46,40.5,23.33
Hailakandi,2023,September,289.65,20.7,29.27,39.83,23.66
Hailakandi,2023,October,252.74,17.18,26.34,36.3,18.65
Hailakandi,2023,November,92.88,13.06,22.61,30.64,14.85
Hailakandi,2023,December,41.08,11.09,19.46,29.51,10
Hailakandi,ANN,ANN,2942.16,15.31,25.21,40.5,8.02
Hailakandi,2024,January,0.2,8.22,15.98,26.11,7.36
Hailakandi,2024,February,66.09,9.07,19.01,30.12,8.8
Hailakandi,2024,March,119.48,10.94,23.64,36.39,12.48
Hailakandi,2024,April,261.67,16.13,27.8,37.74,19.19
Hailakandi,2024,May,629.61,18.89,28.53,40.73,20.61
Hailakandi,2024,June,926.73,21.48,29.01,36.19,24.5
Hailakandi,2024,July,485.37,21.69,29.53,39.84,24.24
Hailakandi,2024,August,627.12,20.59,28.03,37.1,23.91
Hailakandi,2024,September,307.99,20.88,29.37,40.56,23.32
Hailakandi,2024,October,307.55,18.16,26.71,35.46,20.97
Hailakandi,2024,November,22.23,13.52,22.63,34.13,13.37
Hailakandi,2024,December,0.3,10.03,18.11,27.31,8.25
Hailakandi,ANN,ANN,3754.34,15.81,24.87,40.73,7.36
Jorhat,1981,January,32.5,8.11,15.88,22.73,8.95
Jorhat,1981,February,47.19,8.83,18.02,27.64,10.72
Jorhat,1981,March,149.13,10.66,21.58,30.21,14.33
Jorhat,1981,April,135.46,13.05,24.21,32.7,16.61
Jorhat,1981,May,297.53,16.72,27.31,35.12,20.7
Jorhat,1981,June,513.1,19.64,28.61,36.07,22.54
Jorhat,1981,July,531.94,20.74,28.35,34.95,23.83
Jorhat,1981,August,371.38,20.82,28.57,34.5,24.16
Jorhat,1981,September,249.74,18.91,27.08,33.09,22.71
Jorhat,1981,October,100.33,15.46,24.59,30.31,17.58
Jorhat,1981,November,6.78,11.4,20.07,26.86,12.79
Jorhat,1981,December,49.61,9.18,16.71,24.85,9.88
Jorhat,ANN,ANN,2484.69,14.49,23.44,36.07,8.95
Jorhat,1982,January,30.54,8.31,16.56,25.14,10.17
Jorhat,1982,February,98.25,8.51,16.6,26.07,8.09
Jorhat,1982,March,31.6,9.96,21.11,31.9,12.18
Jorhat,1982,April,201.19,13.79,24.57,32.75,16.96
Jorhat,1982,May,156.18,15.98,27.85,35.84,19.97
Jorhat,1982,June,349.63,18.74,27.72,35.87,22.64
Jorhat,1982,July,401.06,19.96,28.1,34.71,23.16
Jorhat,1982,August,117.73,20.2,28.56,35.55,23.94
Jorhat,1982,September,221.94,18.53,27.16,35.27,21.82
Jorhat,1982,October,48.95,14.14,24.09,30.44,17.02
Jorhat,1982,November,26.26,10.77,19.87,28.05,12.49
Jorhat,1982,December,9.25,8.03,16.42,23.89,7.11
Jorhat,ANN,ANN,1692.58,13.94,23.25,35.87,7.11
Jorhat,1983,January,15.75,6.31,15.04,25.21,6.6
Jorhat,1983,February,19.31,6.38,17.15,28.05,7.29
Jorhat,1983,March,31.35,7.92,21.89,34.2,11.06
Jorhat,1983,April,93.37,10.07,25.75,35.69,16.88
Jorhat,1983,May,167.59,14.78,27.07,38.67,17.43
Jorhat,1983,June,191.03,17.89,30.44,39.38,23.8
Jorhat,1983,July,164.98,19.43,30.2,38.65,24.47
Jorhat,1983,August,129.9,18.98,29.61,37.72,24.34
Jorhat,1983,September,385.36,18.88,27.31,34.48,22.04
Jorhat,1983,October,101.93,16.13,25.14,34.03,17.64
Jorhat,1983,November,9.06,10.63,20.15,28.86,13.23
Jorhat,1983,December,36.13,7.39,16.17,24.63,8.46
Jorhat,ANN,ANN,1345.76,12.94,23.86,39.38,6.6
Jorhat,1984,January,8.7,6.44,14.35,23.38,7
Jorhat,1984,February,19.26,6.56,17.72,28.87,9.38
Jorhat,1984,March,13.18,7.28,23.93,36.09,13.6
Jorhat,1984,April,110.77,12.01,27.88,37.2,19.71
Jorhat,1984,May,187.61,14.99,28.06,37.18,21.47
Jorhat,1984,June,245.09,18.9,29.38,40.14,22.82
Jorhat,1984,July,556.6,19.84,27.7,34.14,23.16
Jorhat,1984,August,217.89,19.73,28.76,36.8,23.79
Jorhat,1984,September,274.43,17.5,25.91,34.02,20.7
Jorhat,1984,October,87.98,15.88,24.35,31.99,17.39
Jorhat,1984,November,0.84,9.99,18.7,26.92,11.94
Jorhat,1984,December,20.68,8.18,16.06,24.53,9.25
Jorhat,ANN,ANN,1743.03,13.13,23.58,40.14,7
Jorhat,1985,January,5.36,7,15.49,25.06,8.36
Jorhat,1985,February,12.66,6.74,17.25,27.78,9.62
Jorhat,1985,March,103.99,9.84,23.16,34.74,13.88
Jorhat,1985,April,111.94,12.87,26.87,36.36,17.02
Jorhat,1985,May,96.95,14,29.05,38.26,20.55
Jorhat,1985,June,275.67,18.59,29.47,37.74,23.81
Jorhat,1985,July,591.13,19.29,27.36,34.62,23.19
Jorhat,1985,August,221.26,20.38,28.77,34.91,24.12
Jorhat,1985,September,295.47,18.74,26.85,33.79,22.67
Jorhat,1985,October,40.41,15.17,24.24,30.38,17.11
Jorhat,1985,November,8.46,10.18,18.83,27.15,12.49
Jorhat,1985,December,68.51,8.41,16.4,24.21,10.86
Jorhat,ANN,ANN,1831.81,13.47,23.68,38.26,8.36
Jorhat,1986,January,7.78,7.46,15.52,23.89,7.76
Jorhat,1986,February,8.55,7.35,18.12,27.97,10.59
Jorhat,1986,March,24.73,7.94,22.19,34.56,11.55
Jorhat,1986,April,114.62,11.82,26.42,36.84,17.86
Jorhat,1986,May,46.39,12.32,29.42,39.49,18.38
Jorhat,1986,June,241.63,17.41,31.19,39.86,24.04
Jorhat,1986,July,315.98,19.5,28.76,36.16,23.13
Jorhat,1986,August,241.9,19.55,28.76,36.07,23.93
Jorhat,1986,September,231.45,17.81,26.44,32.93,20.71
Jorhat,1986,October,194.17,14.13,22.88,29.79,16.8
Jorhat,1986,November,15.17,10.85,19.34,28.61,13.21
Jorhat,1986,December,9.04,8.17,16.44,25.38,9.18
Jorhat,ANN,ANN,1451.41,12.89,23.81,39.86,7.76
Jorhat,1987,January,3.56,7.11,16.68,26.42,9.33
Jorhat,1987,February,22.09,7.7,19.59,30.24,11.2
Jorhat,1987,March,53.1,9.04,22.82,34.59,13.8
Jorhat,1987,April,133.16,11.96,26.79,36.43,19.57
Jorhat,1987,May,130.64,13.98,28.69,38.81,19.84
Jorhat,1987,June,193.36,18.38,30.86,38.85,24.87
Jorhat,1987,July,404.41,20.07,28.12,33.44,22.86
Jorhat,1987,August,387.3,19.71,28.1,36.24,22.55
Jorhat,1987,September,437.59,19.15,27.12,33.2,20.74
Jorhat,1987,October,82.24,14.8,24.18,30.45,17.07
Jorhat,1987,November,7.97,11.65,20.93,27.54,14.33
Jorhat,1987,December,12.34,9.06,17.99,24.88,10.8
Jorhat,ANN,ANN,1867.76,13.58,24.34,38.85,9.33
Jorhat,1988,January,5.91,7.46,16.59,24.36,9.87
Jorhat,1988,February,29.04,7.89,19.23,27.51,11.94
Jorhat,1988,March,121.84,9.34,21.91,32.81,12.77
Jorhat,1988,April,128.79,12.35,25.96,36.04,15.37
Jorhat,1988,May,405.78,16.56,28.05,36.64,20.38
Jorhat,1988,June,139.53,19.62,28.54,35.12,23.31
Jorhat,1988,July,555.06,20.59,28.7,35.64,24.17
Jorhat,1988,August,507.69,20.39,27.99,34.71,23.74
Jorhat,1988,September,305.58,19.17,27.22,33.78,22.23
Jorhat,1988,October,152.41,16.51,24.88,30.86,18.47
Jorhat,1988,November,38.82,11.77,20.64,27.97,14.31
Jorhat,1988,December,9.51,9.85,17.86,25.3,10.86
Jorhat,ANN,ANN,2399.96,14.31,23.97,36.64,9.87
Jorhat,1989,January,27.27,7.36,14.54,22.75,7.16
Jorhat,1989,February,100.1,7.5,16.58,27.15,8.65
Jorhat,1989,March,18.41,9.12,21.51,32.35,12.32
Jorhat,1989,April,147.6,11.49,25.69,35.88,15.59
Jorhat,1989,May,132.9,15.62,28.51,36.79,17.05
Jorhat,1989,June,257.79,18.62,29.57,37.97,24.12
Jorhat,1989,July,468.74,19.97,28.4,35.62,21.72
Jorhat,1989,August,204.63,19.8,28.62,34.38,23.11
Jorhat,1989,September,307.39,19.09,27.01,32.78,22.38
Jorhat,1989,October,140.61,16.02,24.51,31.95,16.95
Jorhat,1989,November,27.47,10.58,19.25,26.74,13.28
Jorhat,1989,December,11.03,7.5,15.47,24.18,8.68
Jorhat,ANN,ANN,1843.94,13.59,23.34,37.97,7.16
Jorhat,1990,January,28.93,8.15,16.65,25.47,9.18
Jorhat,1990,February,69.99,8.28,17.59,25.61,10.2
Jorhat,1990,March,54.5,9.33,21.13,31.47,12.74
Jorhat,1990,April,215.63,13.03,24.03,33.15,14.85
Jorhat,1990,May,169.49,16.28,28,35.53,19.7
Jorhat,1990,June,496.08,19.71,28.23,34.59,23.45
Jorhat,1990,July,635.05,20.46,28.44,34.27,24.44
Jorhat,1990,August,277.91,20.41,29.32,35.76,24.58
Jorhat,1990,September,486.76,19.01,27.15,35.41,20.31
Jorhat,1990,October,139.15,15.16,24.08,31.66,17.55
Jorhat,1990,November,1.8,11.5,21.04,27.89,14.42
Jorhat,1990,December,0.01,8.86,16.93,23.83,11.23
Jorhat,ANN,ANN,2575.3,14.21,23.58,35.76,9.18
Jorhat,1991,January,0.69,7.07,15.21,25.14,7.94
Jorhat,1991,February,1.06,7.79,18.86,29.17,11.25
Jorhat,1991,March,6.39,8.6,23.69,34.26,14.42
Jorhat,1991,April,14.63,9.89,27.67,37.98,18.28
Jorhat,1991,May,31.07,13.57,30.28,40.56,21.46
Jorhat,1991,June,397.76,18.88,29.26,36.44,22.7
Jorhat,1991,July,425.28,20.71,28.84,35.44,24.76
Jorhat,1991,August,389.52,20.1,28.49,35.73,23.56
Jorhat,1991,September,440.18,18.82,26.9,32.3,22.37
Jorhat,1991,October,118.17,15.51,24.16,31.15,18.98
Jorhat,1991,November,16.27,10.76,19.29,27.47,13.04
Jorhat,1991,December,38.03,8.27,15.62,23.49,8.08
Jorhat,ANN,ANN,1879.05,13.36,24.05,40.56,7.94
Jorhat,1992,January,30.59,7.35,14.57,23.83,6.97
Jorhat,1992,February,83.02,7.53,15.52,23.85,8.51
Jorhat,1992,March,74.46,9.61,21.25,32.29,11.68
Jorhat,1992,April,117.8,12.19,25.7,34.13,16.67
Jorhat,1992,May,176.2,14.63,27.42,35.96,19.38
Jorhat,1992,June,301.84,18.09,29.01,36.07,22.72
Jorhat,1992,July,365.76,19.61,28.2,34.31,23.59
Jorhat,1992,August,345.43,19.63,28.57,35.33,23.21
Jorhat,1992,September,176.22,18.06,27.2,34.55,21.23
Jorhat,1992,October,87.87,14.4,23.44,30.95,15.69
Jorhat,1992,November,6,10.66,19.55,28.11,12.54
Jorhat,1992,December,6,7.33,15.57,24.01,9.8
Jorhat,ANN,ANN,1771.19,13.27,23.02,36.07,6.97
Jorhat,1993,January,65.61,7.16,14.42,24.71,7.79
Jorhat,1993,February,76.01,8.34,18.68,27.1,8.89
Jorhat,1993,March,60.99,8.3,21.32,30.93,12.8
Jorhat,1993,April,96.02,11.01,25.67,35.28,14.67
Jorhat,1993,May,245.84,15.86,27.16,35.24,19.96
Jorhat,1993,June,432.17,18.89,27.92,34.94,21.86
Jorhat,1993,July,393.73,20.22,28.7,34.71,24.09
Jorhat,1993,August,549.26,19.89,27.62,33.14,22.58
Jorhat,1993,September,318.35,18.46,27.07,34.65,21.89
Jorhat,1993,October,97.83,15.04,24.47,31.08,17.14
Jorhat,1993,November,4.91,11.3,20.14,28.73,13.9
Jorhat,1993,December,2.33,8.56,17.37,24.5,11.29
Jorhat,ANN,ANN,2343.05,13.61,23.4,35.28,7.79
Jorhat,1994,January,21.01,7.3,16.48,24.51,9.12
Jorhat,1994,February,27.94,7.39,17.09,26.14,10.16
Jorhat,1994,March,133.27,9.65,22.2,33.22,12.13
Jorhat,1994,April,153.56,12.14,25.52,35.39,17.71
Jorhat,1994,May,313.85,15.8,28.51,37.34,21.81
Jorhat,1994,June,384.45,19.62,28.95,35.63,23.32
Jorhat,1994,July,305.67,20.61,29.74,37.09,24.49
Jorhat,1994,August,335.95,20.29,29.46,35.78,24.41
Jorhat,1994,September,267.54,18.97,28.23,34.6,22.1
Jorhat,1994,October,147.91,14.1,23.51,30.24,17.55
Jorhat,1994,November,6.03,10.65,20.3,28.53,13.4
Jorhat,1994,December,0.08,7.2,16.33,24.45,10.05
Jorhat,ANN,ANN,2097.26,13.68,23.89,37.34,9.12
Jorhat,1995,January,13.16,6.28,15.45,24.42,7.87
Jorhat,1995,February,46.24,7.05,17.98,28.34,10.78
Jorhat,1995,March,14.8,7.78,22.66,35.21,11.72
Jorhat,1995,April,87.88,10.07,26.88,37.13,16.15
Jorhat,1995,May,288.51,16.48,29.36,37.72,22.15
Jorhat,1995,June,481.99,19.9,28.9,36.83,22.95
Jorhat,1995,July,393.32,20.23,28.15,33.63,24.12
Jorhat,1995,August,310.48,19.94,28.66,34.6,23.44
Jorhat,1995,September,357.58,18.49,26.64,35.95,20.06
Jorhat,1995,October,79.99,15.42,24.88,30.97,17.46
Jorhat,1995,November,38.77,12.31,20.72,27.89,13.47
Jorhat,1995,December,23.37,8.94,16.53,23.01,10.43
Jorhat,ANN,ANN,2136.09,13.61,23.93,37.72,7.87
Jorhat,1996,January,22.55,7.59,15.21,23.12,7.86
Jorhat,1996,February,29.89,8.13,18.49,26.83,10.09
Jorhat,1996,March,86.3,10.61,22.99,32.77,13.97
